Rank,Movie,"Release
Date",Distributor,Genre,MPAA,2015 Gross,Tickets Sold
33,Taken 3,1/9/2015,20th Century Fox,Action,PG-13,89256424,10587951
34,Maze Runner: The Scorch Trials,9/18/2015,20th Century Fox,Thriller/Suspense,PG-13,81630702,9683357
35,Ted 2,6/26/2015,Universal,Comedy,R,81476385,9665052
36,Goosebumps,10/16/2015,Sony Pictures,Horror,PG,79132868,9387054
37,Pixels,7/24/2015,Sony Pictures,Adventure,PG-13,78765986,9343533
38,Paddington,1/16/2015,Weinstein Co.,Adventure,PG,76223578,9041942
39,The Intern,9/25/2015,Warner Bros.,Comedy,PG-13,75574886,8964992
40,Paul Blart: Mall Cop 2,4/17/2015,Sony Pictures,Adventure,PG,71091594,8433167
41,Bridge of Spies,10/16/2015,Walt Disney,Thriller/Suspense,PG-13,70610153,8376056
42,War Room,8/28/2015,Sony Pictures,Drama,PG,66628024,7903680
43,Magic Mike XXL,7/1/2015,Warner Bros.,Comedy,R,66013057,7830730
44,The Visit,9/11/2015,Universal,Thriller/Suspense,PG-13,65206105,7735007
45,The Wedding Ringer,1/16/2015,Sony Pictures,Comedy,R,64460211,7646526
46,Black Mass,9/18/2015,Warner Bros.,Drama,R,62575678,7422974
47,The Imitation Game,11/28/2014,Weinstein Co.,Drama,PG-13,60653053,7194905
48,Vacation,7/29/2015,Warner Bros.,Comedy,R,58884188,6985075
49,The Perfect Guy,9/11/2015,Sony Pictures,Thriller/Suspense,PG-13,57027435,6764820
50,Fantastic Four,8/7/2015,20th Century Fox,Action,PG-13,56117548,6656886
51,Alvin and the Chipmunks: The Road Chip,12/18/2015,20th Century Fox,Adventure,PG,55575427,6592577
52,Focus,2/27/2015,Warner Bros.,Romantic Comedy,PG-13,53862963,6389438
53,Unbroken,12/25/2014,Universal,Drama,PG-13,53371650,6331157
54,Southpaw,7/24/2015,Weinstein Co.,Drama,R,52421953,6218499
55,Insidious Chapter 3,6/5/2015,Focus Features,Horror,PG-13,52218558,6194372
56,Selma,12/25/2014,Paramount Pictures,Drama,PG-13,52076908,6177569
57,Sisters,12/18/2015,Universal,Comedy,R,49123380,5827210
58,Jupiter Ascending,2/6/2015,Warner Bros.,Action,PG-13,47482519,5632564
59,Poltergeist,5/22/2015,20th Century Fox,Horror,PG-13,47425125,5625756
60,Sicario,9/18/2015,Lionsgate,Thriller/Suspense,R,46823967,5554444
61,The Man From U.N.C.L.E.,8/14/2015,Warner Bros.,Action,PG-13,45445109,5390878
62,McFarland USA,2/20/2015,Walt Disney,Drama,PG,44480275,5276426
63,Night at the Museum: Secret of the Tomb,12/19/2014,20th Century Fox,Adventure,PG,44392039,5265960
64,The Gift,8/7/2015,STX Entertainment,Thriller/Suspense,R,43787265,5194218
65,Everest,9/18/2015,Universal,Thriller/Suspense,PG-13,43482270,5158039
66,The Night Before,11/20/2015,Sony Pictures,Comedy,R,42884826,5087168
67,Max,6/26/2015,Warner Bros.,Adventure,PG,42656255,5060053
68,The Age of Adaline,4/24/2015,Lionsgate,Drama,PG-13,42629776,5056912
69,Krampus,12/4/2015,Universal,Black Comedy,PG-13,41465710,4918827
70,The Longest Ride,4/10/2015,20th Century Fox,Drama,PG-13,37446117,4442007
71,Into the Woods,12/25/2014,Walt Disney,Musical,PG,37130717,4404592
72,The Boy Next Door,1/23/2015,Universal,Thriller/Suspense,R,36006065,4271182
73,Pan,10/9/2015,Warner Bros.,Adventure,PG,35057457,4158654
74,Hot Pursuit,5/8/2015,Warner Bros.,Comedy,PG-13,34580201,4102040
75,The Hobbit: The Battle of the Five Armies,12/17/2014,Warner Bros.,Adventure,PG-13,34517771,4094634
76,The DUFF,2/20/2015,CBS Films,Comedy,PG-13,34030343,4036814
77,Woman in Gold,4/1/2015,Weinstein Co.,Drama,PG-13,33307793,3951102
78,The Second Best Exotic Marigold Hotel,3/6/2015,Fox Searchlight,Comedy,PG,33078266,3923875
79,The Big Short,12/11/2015,Paramount Pictures,Drama,R,33055481,3921172
80,Unfriended,4/17/2015,Universal,Horror,R,32789645,3889638
81,Entourage,6/3/2015,Warner Bros.,Comedy,R,32363404,3839075
82,Paper Towns,7/24/2015,20th Century Fox,Drama,PG-13,32000304,3796003
83,Chappie,3/6/2015,Sony Pictures,Action,R,31569268,3744872
84,Crimson Peak,10/16/2015,Universal,Horror,R,31090320,3688057
85,A Walk in the Woods,9/2/2015,Broad Green Pictures,Adventure,R,29499394,3499334
86,The Hateful Eight,12/25/2015,Weinstein Co.,Western,R,29045855,3445534
87,Annie,12/19/2014,Sony Pictures,Musical,PG,28959342,3435272
88,Joy,12/25/2015,20th Century Fox,Drama,PG-13,28310094,3358256
89,Sinister 2,8/21/2015,Focus Features,Horror,R,27740955,3290741
90,The Last Witch Hunter,10/23/2015,Lionsgate,Action,PG-13,27367660,3246460
91,No Escape,8/26/2015,Weinstein Co.,Thriller/Suspense,R,27288872,3237114
92,Spotlight,11/6/2015,Open Road,Drama,R,27108972,3215773
93,Ricki and the Flash,8/7/2015,Sony Pictures,Drama,PG-13,26839498,3183808
94,Run All Night,3/13/2015,Warner Bros.,Action,R,26461644,3138985
95,Love the Coopers,11/13/2015,CBS Films,Comedy,PG-13,26193757,3107207
96,The Lazarus Effect,2/27/2015,Lionsgate,Horror,PG-13,25801570,3060684
97,Ex Machina,4/10/2015,A24,Thriller/Suspense,R,25440971,3017908
98,In the Heart of the Sea,12/11/2015,Warner Bros.,Adventure,PG-13,23063385,2735870
99,The Gallows,7/10/2015,Warner Bros.,Horror,R,22764410,2700404
100,Hitman: Agent 47,8/21/2015,20th Century Fox,Action,R,22467450,2665178
101,Project Almanac,1/30/2015,Paramount Pictures,Adventure,PG-13,22348241,2651036
102,Black or White,1/30/2015,Relativity,Drama,PG-13,21571189,2558859
103,Aloha,5/29/2015,Sony Pictures,Drama,PG-13,21052030,2497275
104,Secret in Their Eyes,11/20/2015,STX Entertainment,Thriller/Suspense,PG-13,20119034,2386599
105,Brooklyn,11/4/2015,Fox Searchlight,Drama,PG-13,19563995,2320759
106,Shaun the Sheep,8/5/2015,Lionsgate,Adventure,PG,19375982,2298455
107,Still Alice,1/16/2015,Sony Pictures Classics,Drama,PG-13,18656400,2213096
108,Paranormal Activity: The Ghost Dimension,10/23/2015,Paramount Pictures,Horror,R,18297124,2170477
109,Wild,12/3/2014,Fox Searchlight,Drama,R,18137709,2151567
110,Birdman or (The Unexpected Virtue of Ignorance),10/17/2014,Fox Searchlight,Black Comedy,R,18067553,2143245
111,Steve Jobs,10/9/2015,Universal,Drama,R,17766658,2107551
112,Mr. Holmes,7/17/2015,Miramax/Roadside Attractions,Drama,PG,17737646,2104109
113,Seventh Son,2/6/2015,Universal,Adventure,PG-13,17725785,2102703
114,Concussion,12/25/2015,Sony Pictures,Drama,PG-13,17420369,2066473
115,Monkey Kingdom,4/17/2015,Walt Disney,Documentary,G,16432322,1949267
116,The Transporter Refueled,9/4/2015,EuropaCorp,Action,PG-13,16029670,1901502
117,Point Break,12/25/2015,Warner Bros.,Action,PG-13,15584535,1848699
118,It Follows,3/13/2015,RADiUS-TWC,Horror,R,14674077,1740697
119,American Ultra,8/21/2015,Lionsgate,Black Comedy,R,14439985,1712928
120,Woodlawn,10/16/2015,Pure Flix Entertainment,Drama,PG,14380599,1705883
121,Burnt,10/30/2015,Weinstein Co.,Comedy,R,13596955,1612924
122,The Hunger Games: Mockingjay - Part 1,11/21/2014,Lionsgate,Thriller/Suspense,PG-13,13401383,1589725
123,Do You Believe?,3/20/2015,Pure Flix Entertainment,Drama,PG-13,12985600,1540403
124,Love & Mercy,6/5/2015,Roadside Attractions,Drama,PG-13,12551031,1488853
125,Strange Magic,1/23/2015,Walt Disney,Adventure,PG,12429583,1474446
126,Hot Tub Time Machine 2,2/20/2015,Paramount Pictures,Comedy,R,12314651,1460812
127,Self/Less,7/10/2015,Focus Features,Thriller/Suspense,PG-13,12279691,1456665
128,Far from the Madding Crowd,5/1/2015,Fox Searchlight,Drama,PG-13,12236500,1451542
129,Back to the Future,7/3/1985,Universal,Adventure,PG,12127168,1438572
130,The 33,11/13/2015,Warner Bros.,Drama,PG-13,12049242,1429328
131,The Woman in Black 2: Angel of Death,1/2/2015,Relativity,Horror,PG-13,11473908,1361080
132,Big Hero 6,11/7/2014,Walt Disney,Adventure,PG,11320792,1342917
133,The Theory of Everything,11/7/2014,Focus Features,Drama,PG-13,11121187,1319239
134,The Gunman,3/20/2015,Open Road,Thriller/Suspense,R,10664749,1265094
135,Unfinished Business,3/6/2015,20th Century Fox,Comedy,R,10219501,1212278
136,The Walk,10/9/2015,Sony Pictures,Drama,PG,10161183,1205360
137,Penguins of Madagascar,11/26/2014,20th Century Fox,Adventure,PG,9322689,1105894
138,Exodus: Gods and Kings,12/12/2014,20th Century Fox,Drama,PG-13,9287173,1101681
139,Un gallo con muchos huevos,9/4/2015,Lionsgate,Adventure,PG-13,9080818,1077202
140,Amy,7/3/2015,A24,Documentary,R,8409616,997581
141,Bajrangi Bhaijaan,7/17/2015,Eros Entertainment,Action,Not Rated,8178001,970106
142,"Dragon Ball Z: Resurrection ""F""",8/4/2015,FUNimation,Action,Not Rated,8008363,949983
143,Blackhat,1/16/2015,Universal,Thriller/Suspense,R,8005980,949701
144,Mortdecai,1/23/2015,Lionsgate,Adventure,R,7696134,912945
145,While We're Young,3/27/2015,A24,Comedy,R,7582065,899414
146,I'll See You in My Dreams,5/15/2015,Bleecker Street,Romantic Comedy,PG-13,7449681,883710
147,The Green Inferno,9/25/2015,High Top Releasing,Horror,R,7192291,853178
148,Whiplash,10/10/2014,Sony Pictures Classics,Drama,R,7190389,852952
149,Trumbo,11/6/2015,Bleecker Street,Drama,R,7015228,832174
150,Our Brand is Crisis,10/30/2015,Warner Bros.,Drama,R,7002261,830635
151,Grandma,8/21/2015,Sony Pictures Classics,Comedy,R,6928220,821852
152,Me and Earl and the Dying Girl,6/12/2015,Fox Searchlight,Drama,PG-13,6758416,801710
153,Baahubali: The Beginning,7/10/2015,Bluesky Cinemas,Action,Not Rated,6738000,799288
154,Inherent Vice,12/12/2014,Warner Bros.,Drama,R,6647997,788611
155,Little Boy,4/24/2015,Open Road,Drama,PG-13,6485961,769390
156,The Gambler,12/10/2014,Paramount Pictures,Drama,R,6074726,720608
157,The Danish Girl,11/27/2015,Focus Features,Drama,R,6050349,717716
158,The Loft,1/30/2015,Open Road,Thriller/Suspense,R,6002684,712062
159,Bajirao Mastani,12/18/2015,Eros Entertainment,Drama,Not Rated,5848971,693828
160,Victor Frankenstein,11/25/2015,20th Century Fox,Thriller/Suspense,PG-13,5775076,685062
161,Danny Collins,3/20/2015,Bleecker Street,Comedy,R,5637066,668691
162,A Most Violent Year,12/31/2014,A24,Drama,R,5463088,648053
163,Interstellar,11/7/2014,Paramount Pictures,Adventure,PG-13,5215800,618718
164,Carol,11/20/2015,Weinstein Co.,Drama,R,4982475,591040
165,Room,10/16/2015,A24,Drama,R,4976972,590388
166,90 Minutes in Heaven,9/11/2015,Samuel Goldwyn Films,Drama,PG-13,4816142,571309
167,True Story,4/17/2015,Fox Searchlight,Drama,R,4719695,559869
168,Dilwale,12/18/2015,UTV Communications,Romantic Comedy,Not Rated,4704632,558082
169,Suffragette,10/23/2015,Focus Features,Drama,PG-13,4668603,553808
170,Big Eyes,12/25/2014,Weinstein Co.,Drama,PG-13,4558006,540688
171,Prem Ratan Dhan Payo,11/12/2015,Fox International,Drama,Not Rated,4364639,517751
172,The Water Diviner,4/24/2015,Warner Bros.,Drama,R,4200117,498234
173,Foxcatcher,11/14/2014,Sony Pictures Classics,Drama,R,4153511,492705
174,Hubble 3D,3/19/2010,Warner Bros.,Documentary,G,4088852,485036
175,Irrational Man,7/17/2015,Sony Pictures Classics,Comedy,R,4030360,478097
176,Scouts Guide to the Zombie Apocalypse,10/30/2015,Paramount Pictures,Comedy,R,3703046,439269
177,A La Mala,2/27/2015,Lionsgate,Romantic Comedy,PG-13,3629842,430586
178,Spare Parts,1/16/2015,Lionsgate,Drama,PG-13,3618912,429289
179,We Are Your Friends,8/28/2015,Warner Bros.,Drama,R,3591417,426028
180,Mommy,1/23/2015,Roadside Attractions,Drama,R,3498695,415029
181,What We Do in the Shadows,2/13/2015,Unison/Paladin,Comedy,R,3469224,411533
182,Learning to Drive,8/21/2015,Broad Green Pictures,Drama,R,3447633,408971
183,Space Station,4/19/2002,IMAX Films,Documentary,Not Rated,3201391,379761
184,Phoenix,7/24/2015,IFC Films,Drama,PG-13,3166858,375665
185,Wild Tales,2/20/2015,Sony Pictures Classics,Comedy,R,3107072,368573
186,Dil Dhadakne Do,6/5/2015,Eros Entertainment,Drama,Not Rated,3066100,363712
187,Ladrones,10/9/2015,Lionsgate,Comedy,PG-13,3063505,363405
188,Tanu Weds Manu Returns,5/22/2015,Eros Entertainment,Comedy,Not Rated,3043479,361029
189,Rock the Kasbah,10/23/2015,Open Road,Comedy,R,3020665,358323
190,Mr. Turner,12/19/2014,Sony Pictures Classics,Drama,R,2995728,355365
191,He Named Me Malala,10/2/2015,Fox Searchlight,Documentary,PG-13,2668936,316600
192,Chi-raq,12/4/2015,Amazon Studios/Roadside Attractions,Drama,R,2601330,308580
193,Captive,9/18/2015,Paramount Pictures,Drama,PG-13,2583301,306441
194,The Interview,12/25/2014,Sony Pictures,Comedy,R,2552397,302775
195,Truth,10/16/2015,Sony Pictures Classics,Thriller/Suspense,R,2517245,298605
196,Mistress America,8/14/2015,Fox Searchlight,Comedy,R,2500431,296611
197,Pawn Sacrifice,9/16/2015,Beeker Street,Drama,PG-13,2436308,289004
198,2015 Oscar Shorts,1/30/2015,ShortsHD,Multiple Genres,Not Rated,2412493,286179
199,Meru,8/14/2015, ,Documentary,R,2334228,276895
200,My All-American,11/13/2015,Clarius Entertainment,Drama,PG,2246000,266429
201,Ode to My Father,12/25/2014,CJ Entertainment,Drama,Not Rated,2209071,262048
202,Jem and the Holograms,10/23/2015,Universal,Musical,PG,2184640,259151
203,Roar,1/1/1981, ,Adventure,PG,2110050,250302
204,Tamasha,11/25/2015,UTV Communications,Comedy,Not Rated,2065487,245016
205,Island of Lemurs: Madagascar,4/4/2014,Warner Bros.,Documentary,G,2033564,241229
206,Cake,1/23/2015,Cinelou Releasing,Drama,R,1951776,231527
207,Old Fashioned,2/6/2015,Freestyle Releasing,Drama,PG-13,1914090,227056
208,Assassination,8/7/2015,Well Go USA,Thriller/Suspense,Not Rated,1904682,225940
209,Game of Thrones: The IMAX Experience,1/29/2015,Warner Bros.,Drama,R,1896092,224921
210,Journey to the South Pacific,11/27/2013,MacGillivray Freeman Films,Documentary,G,1852230,219718
211,Legend,11/20/2015,Universal,Thriller/Suspense,R,1852124,219706
212,Clouds of Sils Maria,4/10/2015,IFC Films,Drama,R,1841555,218452
213,Testament of Youth,6/5/2015,Sony Pictures Classics,Drama,PG-13,1822250,216162
214,Piku,5/8/2015,Yash Raj Films,Drama,Not Rated,1801806,213737
215,The Vatican Tapes,7/24/2015,Lionsgate,Horror,PG-13,1784763,211715
216,Jerusalem,9/13/2013,National Geographic Entertainment,Documentary,Not Rated,1715647,203516
217,Meet the Patels,9/11/2015,Alchemy,Documentary,PG,1700680,201741
218,The Letters,12/4/2015,Freestyle Releasing,Drama,PG,1632464,193649
219,Top Five,12/12/2014,Paramount Pictures,Comedy,R,1577054,187076
220,Gone Girl,10/3/2014,20th Century Fox,Thriller/Suspense,R,1569606,186193
221,The Diary of a Teenage Girl,8/7/2015,Sony Pictures Classics,Drama,R,1477002,175207
222,Infinitely Polar Bear,6/19/2015,Sony Pictures Classics,Comedy,R,1430655,169709
223,99 Homes,9/25/2015,Broad Green Pictures,Drama,R,1411927,167488
224,Welcome Back,9/4/2015,Eros Entertainment,Comedy,Not Rated,1388365,164693
225,Horrible Bosses 2,11/26/2014,Warner Bros.,Comedy,R,1381888,163925
226,The Cokeville Miracle,6/5/2015,Excel Entertainment,Drama,PG-13,1348630,159979
227,Dumb and Dumber To,11/14/2014,Universal,Comedy,PG-13,1344290,159465
228,The Salt of the Earth,3/27/2015,Sony Pictures Classics,Documentary,PG-13,1343349,159353
229,Two Days One Night,12/24/2014,Sundance Selects,Drama,PG-13,1312980,155750
230,Iris,4/29/2015,Magnolia Pictures,Documentary,PG-13,1310678,155477
231,Lost in Hong Kong,9/25/2015,Well Go USA,Comedy,Not Rated,1302281,154481
232,The Wolfpack,6/12/2015,Magnolia Pictures,Documentary,R,1301696,154412
233,Youth,12/4/2015,Fox Searchlight,Drama,R,1297379,153900
234,Goodbye Mr. Loser,10/9/2015,China Lion Film Distribution,Comedy,Not Rated,1289195,152929
235,’71,2/27/2015,Roadside Attractions,Thriller/Suspense,R,1270847,150752
236,Beyond the Mask,4/6/2015,Gathr Films,Action,PG,1236094,146630
237,Child 44,4/17/2015,Lionsgate,Thriller/Suspense,R,1224330,145234
238,Goodnight Mommy,9/11/2015,RADiUS-TWC,Horror,R,1178196,139762
239,Black Sea,1/23/2015,Focus Features,Thriller/Suspense,R,1171559,138974
240,Miss You Already,11/6/2015,Roadside Attractions,Comedy,PG-13,1162653,137918
241,Where Hope Grows,5/15/2015,Roadside Attractions,Drama,PG-13,1156000,137129
242,Veteran,8/14/2015,CJ Entertainment,Action,Not Rated,1155652,137088
243,The Met: Live in HD - Tannhauser,10/31/2015, ,Concert/Performance,Not Rated,1150000,136417
244,Mojin: The Lost Legend,12/18/2015,China Lion Film Distribution,Adventure,Not Rated,1121896,133083
245,The Overnight,6/19/2015,The Orchard,Comedy,R,1109808,131649
246,Boyhood,7/11/2014,IFC Films,Drama,R,1080207,128138
247,Timbuktu,1/28/2015,Cohen Media Group,Drama,PG-13,1076075,127648
248,Mr. Six,12/24/2015,China Lion Film Distribution,Action,Not Rated,1070706,127011
249,Dior and I,4/10/2015,The Orchard,Documentary,R,1028953,122058
250,5 Flights Up,5/8/2015,Focus Features,Drama,PG-13,1020921,121105
251,Big Stone Gap,10/9/2015,Picturehouse,Romantic Comedy,PG-13,1009984,119808
252,Faith of Our Fathers,7/1/2015,Pure Flix / Samuel Goldwyn Films,Drama,PG-13,1004105,119110
253,Gett: The Trial of Viviane Amsalem,2/13/2015,Music Box Films,Drama,Not Rated,988150,117218
254,Leviathan,12/25/2014,Sony Pictures Classics,Drama,R,952439,112982
255,Alexander and the Terrible Horrible No Good Very Bad Day,10/10/2014,Walt Disney,Adventure,PG,921486,109310
256,Singh IsBliing,10/2/2015,Eros Entertainment,Action,Not Rated,919095,109026
257,Macbeth,12/4/2015,Weinstein Co.,Drama,R,906513,107534
258,Best of Enemies,7/31/2015,Magnolia Pictures,Documentary,R,892802,105907
259,ABCD 2,6/19/2015,UTV Communications,Drama,Not Rated,892133,105828
260,The Revenant,12/25/2015,20th Century Fox,Adventure,R,872519,103502
261,The Polar Express,11/10/2004,Warner Bros.,Adventure,G,846602,100427
262,The 100-Year-Old Man Who Climbed Out Of The Window and Disappeared,5/8/2015,Music Box Films,Comedy,R,844463,100173
263,The Book of Life,10/17/2014,20th Century Fox,Adventure,PG,829187,98361
264,Sleeping with Other People,9/11/2015,IFC Films,Romantic Comedy,R,814775,96651
265,The Wrecking Crew,3/13/2015,Magnolia Pictures,Documentary,PG,801606,95089
266,Song of the Sea,12/19/2014,GKIDS,Adventure,PG,791679,93912
267,When Marnie Was There,5/22/2015,GKIDS,Drama,PG,765127,90762
268,Labyrinth of Lies,9/30/2015,Sony Pictures Classics,Drama,R,763736,90597
269,Once I Was a Beehive,8/14/2015,Purdie Distribution,Drama,PG,731549,86779
270,Seymour: An Introduction,3/13/2015,IFC Films,Documentary,PG,729744,86565
271,P.K.,12/19/2014,UTV Communications,Comedy,Not Rated,719981,85406
272,Cartel Land,7/3/2015,The Orchard,Documentary,R,704352,83553
273,Tangerine,7/10/2015,Magnolia Pictures,Comedy,R,702354,83316
274,Red Army,1/23/2015,Sony Pictures Classics,Documentary,PG,694647,82401
275,The D Train,5/8/2015,IFC Films,Comedy,R,669688,79441
276,St. Vincent,10/24/2014,Weinstein Co.,Comedy,PG-13,659466,78228
277,Brothers: Blood Against Blood,8/14/2015,Fox International,Action,Not Rated,656688,77899
278,The Stanford Prison Experiment,7/17/2015,IFC Films,Drama,R,649690,77068
279,The Assassin,10/16/2015,Well Go USA,Drama,Not Rated,632542,75034
280,Welcome to Me,5/1/2015,Alchemy,Comedy,R,625727,74226
281,Kumiko The Treasure Hunter,3/18/2015,Amplify,Drama,Not Rated,623383,73948
282,Born to be Wild 3D,4/8/2011,Warner Bros.,Documentary,G,587060,69639
283,Fury,10/17/2014,Sony Pictures,Drama,R,573567,68039
284,Jimmy's Hall,7/3/2015,Sony Pictures Classics,Drama,PG-13,560341,66469
285,A Little Chaos,6/26/2015,Focus Features,Drama,R,558173,66212
286,Freeheld,10/2/2015,Lionsgate,Drama,PG-13,546201,64792
287,By the Sea,11/13/2015,Universal,Drama,R,538460,63874
288,CitizenFour,10/24/2014,RADiUS-TWC,Documentary,R,537661,63779
289,Shaandaar,10/22/2015,Fox International,Comedy,Not Rated,521794,61897
290,The Black Panthers: Vanguard of the Revolution,9/2/2015,PBS Distribution,Documentary,Not Rated,516893,61315
291,Awake: The Life of Yogananda,10/10/2014,Counterpoint Films & Self-Realization Fellowship,Documentary,PG,509752,60468
292,Deli Man: The Movie,2/27/2015,Cohen Media Group,Documentary,PG-13,502294,59584
293,Remember,10/16/2015,Entertainment One,Thriller/Suspense,R,501931,59541
294,Steve Jobs: The Man in the Machine,9/4/2015,Magnolia Pictures,Documentary,R,494506,58660
295,Phantom,8/28/2015,UTV Communications,Action,Not Rated,489984,58123
296,The Last: Naruto the Movie,2/20/2015,Eleven Arts,Action,Not Rated,483795,57389
297,Somewhere Only We Know,2/13/2015,China Lion Film Distribution,Drama,Not Rated,482013,57178
298,Brotherly Love,4/24/2015,Freestyle Releasing,Drama,R,478595,56772
299,About Elly,4/8/2015,Cinema Guild,Drama,Not Rated,470346,55794
300,Let's Get Married,4/3/2015,China Lion Film Distribution,Romantic Comedy,Not Rated,461996,54803
301,Bombay Velvet,5/15/2015,Fox International,Drama,Not Rated,450692,53463
302,Felix et Meira,4/17/2015,Oscilloscope Pictures,Drama,R,447353,53066
303,The Third Man,5/7/1999,Rialto Pictures,Thriller/Suspense,Not Rated,437795,51932
304,Saint Laurent,5/8/2015,Sony Pictures Classics,Drama,R,429477,50946
305,Under the Sea 3D,2/13/2009,Warner Bros.,Documentary,G,427208,50677
306,Rosenwald,8/14/2015,The Ciesla Foundation,Documentary,Not Rated,426891,50639
307,Listen to Me Marlon,7/29/2015,Abramorama Films,Documentary,Not Rated,426130,50549
308,Gemma Bovery,5/29/2015,Music Box Films,Drama,R,425080,50424
309,A Matter of Faith,10/17/2014,Five & Two Pictures,Drama,PG,422588,50129
310,Unbranded,9/25/2015,Gravitas Ventures,Documentary,PG-13,410185,48657
311,The Witness,10/30/2015,China Lion Film Distribution,Thriller/Suspense,Not Rated,409644,48593
312,Badlapur,2/20/2015,Eros Entertainment,Thriller/Suspense,Not Rated,409166,48536
313,The Hunting Ground,2/27/2015,RADiUS-TWC,Documentary,PG-13,405917,48151
314,The Apu Trilogy,5/8/2015,Janus Films,Drama,Not Rated,402723,47772
315,Nightcrawler,10/31/2014,Open Road,Thriller/Suspense,R,398032,47216
316,Freetown,4/8/2015,Purdie Distribution,Thriller/Suspense,PG-13,397122,47108
317,Peggy Guggenheim: Art Addict,11/6/2015,Submarine Deluxe,Documentary,Not Rated,393584,46688
318,A Girl Walks Home Alone at Night,11/21/2014,Kino Lorber,Horror,Not Rated,385325,45708
319,Coming Home,9/9/2015,Sony Pictures Classics,Drama,PG-13,377607,44793
320,The Second Mother,8/28/2015,Oscilloscope Pictures,Drama,R,376976,44718
321,She's Beautiful When She's Angry,12/5/2014,International Film Circuit,Documentary,Not Rated,374467,44420
322,Boychoir,4/3/2015,Informant Media,Drama,Not Rated,366474,43472
323,Katti Batti,9/18/2015,UTV Communications,Romantic Comedy,Not Rated,364932,43289
324,The Rocky Horror Picture Show,9/26/1975,20th Century Fox,Musical,R,364600,43250
325,Maps to the Stars,2/27/2015,Focus Features,Black Comedy,R,350741,41606
326,Noble,5/8/2015,Aspiration Media,Drama,PG,347321,41200
327,Talvar,10/2/2015,Reliance Entertainment,Drama,Not Rated,342428,40620
328,Kahlil Gibran's The Prophet,8/7/2015,GKIDS,Adventure,PG,340536,40395
329,Detective Byomkesh Bakshy,4/3/2015,Yash Raj Films,Drama,Not Rated,338637,40170
330,Ballet 422,2/6/2015,Magnolia Pictures,Documentary,PG,333554,39567
331,Northern Limit Line,7/17/2015,Well Go USA,Drama,Not Rated,324719,38519
332,Shamitabh,2/6/2015,Eros Entertainment,Drama,Not Rated,324597,38504
333,The Maze Runner,9/19/2014,20th Century Fox,Thriller/Suspense,PG-13,323671,38395
334,Heart of a Dog,10/21/2015,Abramorama Films,Documentary,Not Rated,322743,38285
335,A Borrowed Identity,5/15/2015,Strand,Drama,Not Rated,319391,37887
