Rank,Movie,"Release
Date",Distributor,Genre,MPAA,2015 Gross,Tickets Sold
1,Star Wars Ep. VII: The Force Awakens,12/18/2015,Walt Disney,Adventure,PG-13,742208942,88043765
2,Jurassic World,6/12/2015,Universal,Action,PG-13,652270625,77374926
3,The Avengers: Age of Ultron,5/1/2015,Walt Disney,Adventure,PG-13,459005868,54449094
4,Inside Out,6/19/2015,Walt Disney,Adventure,PG,356461711,42284900
5,Furious 7,4/3/2015,Universal,Action,PG-13,353007020,41875091
6,American Sniper,12/25/2014,Warner Bros.,Drama,R,347897084,41268930
7,Minions,7/10/2015,Universal,Adventure,PG,336045770,39863081
8,The Hunger Games: Mockingjay - Part 2,11/20/2015,Lionsgate,Thriller/Suspense,PG-13,274185395,32524957
9,The Martian,10/2/2015,20th Century Fox,Thriller/Suspense,PG-13,225345353,26731359
10,Cinderella,3/13/2015,Walt Disney,Drama,PG,201151353,23861370
11,Spectre,11/6/2015,Sony Pictures,Action,PG-13,197102585,23381090
12,Mission: Impossible—Rogue Nation,7/31/2015,Paramount Pictures,Action,PG-13,195042377,23136699
13,Pitch Perfect 2,5/15/2015,Universal,Comedy,PG-13,184296230,21861949
14,Ant-Man,7/17/2015,Walt Disney,Action,PG-13,180202163,21376294
15,Home,3/27/2015,20th Century Fox,Adventure,PG,177397510,21043595
16,Hotel Transylvania 2,9/25/2015,Sony Pictures,Adventure,PG,168471018,19984700
17,Fifty Shades of Grey,2/13/2015,Universal,Drama,R,166167230,19711415
18,The SpongeBob Movie: Sponge Out of Water,2/6/2015,Paramount Pictures,Adventure,PG,162994032,19334997
19,Straight Outta Compton,8/14/2015,Universal,Drama,R,161197785,19121920
20,San Andreas,5/29/2015,Warner Bros.,Adventure,PG-13,155190832,18409351
21,Mad Max: Fury Road,5/15/2015,Warner Bros.,Action,R,153214368,18174895
22,The Divergent Serires: Insurgent,3/20/2015,Lionsgate,Action,PG-13,130179072,15442357
23,Kingsman: The Secret Service,2/13/2015,20th Century Fox,Action,R,128261724,15214914
24,The Peanuts Movie,11/6/2015,20th Century Fox,Adventure,G,128235584,15211813
25,The Good Dinosaur,11/25/2015,Walt Disney,Adventure,PG,114766932,13614108
26,Spy!,6/5/2015,20th Century Fox,Comedy,R,110825712,13146585
27,Trainwreck,7/17/2015,Universal,Comedy,R,110212700,13073867
28,Creed,11/25/2015,Warner Bros.,Drama,PG-13,99385165,11789462
29,Daddy’s Home,12/25/2015,Paramount Pictures,Comedy,PG-13,93889861,11137587
30,Tomorrowland,5/22/2015,Walt Disney,Adventure,PG,93436322,11083786
31,Get Hard,3/27/2015,Warner Bros.,Comedy,R,90411453,10724964
32,Terminator: Genisys,7/1/2015,Paramount Pictures,Action,PG-13,89760956,10647800
